"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"2641191","2340760","","999","WWEIA Category description","Human milk"
"2641190","2340760","","999","WWEIA Category number","9602"
"2662485","2340760","","1002","","Moisture change: 0%"
"2662486","2340761","","1002","","Moisture change: 0%"
"2641192","2340761","","999","WWEIA Category number","1004"
"2641193","2340761","","999","WWEIA Category description","Milk, reduced fat"
"2662487","2340762","","1002","","Moisture change: 0%"
"2641194","2340762","","999","WWEIA Category number","1002"
"2652438","2340762","1","1001","","3.5% or 3.8% fat milk"
"2652439","2340762","2","1001","","leche fresca"
"2641195","2340762","","999","WWEIA Category description","Milk, whole"
"2652442","2340763","3","1001","","1.5% fat milk"
"2652441","2340763","2","1001","","fortified milk"
"2641196","2340763","","999","WWEIA Category number","1004"
"2662488","2340763","","1002","","Moisture change: 0%"
"2641197","2340763","","999","WWEIA Category description","Milk, reduced fat"
"2652440","2340763","1","1001","","Hi-Protein milk"
"2641199","2340764","","999","WWEIA Category description","Milk, lowfat"
"2662489","2340764","","1002","","Moisture change: 0%"
"2641198","2340764","","999","WWEIA Category number","1006"
"2641201","2340765","","999","WWEIA Category description","Milk, nonfat"
"2662490","2340765","","1002","","Moisture change: 0%"
"2652444","2340765","3","1001","","0.5% or less fat"
"2652443","2340765","2","1001","","nonfat milk"
"2641200","2340765","","999","WWEIA Category number","1008"
"2652445","2340766","1","1001","","Lactaid"
"2641203","2340766","","999","WWEIA Category description","Milk, lowfat"
"2662491","2340766","","1002","","Moisture change: 0%"
"2652447","2340766","4","1001","","lactose reduced"
"2652446","2340766","2","1001","","Lactaid, NS as to fat content"
"2641202","2340766","","999","WWEIA Category number","1006"
"2662492","2340767","","1002","","Moisture change: 0%"
"2641204","2340767","","999","WWEIA Category number","1008"
"2652448","2340767","1","1001","","Lactaid"
"2641205","2340767","","999","WWEIA Category description","Milk, nonfat"
"2652450","2340767","4","1001","","lactose reduced"
"2652449","2340767","3","1001","","nonfat milk"
"2652452","2340768","3","1001","","lactose reduced"
"2641207","2340768","","999","WWEIA Category description","Milk, reduced fat"
