"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight"
"267798","2340760","3","","9999","1 fl oz","30000","30.8"
"267797","2340760","2","","9999","Quantity not specified","90000","0.0"
"267796","2340760","1","","9999","1 cup","10205","246.0"
"267801","2340761","3","","9999","1 individual school container","64294","244.0"
"267803","2340761","5","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267802","2340761","4","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267800","2340761","2","","9999","1 fl oz","30000","30.5"
"267804","2340761","6","","9999","Quantity not specified","90000","244.0"
"267799","2340761","1","","9999","1 cup","10205","244.0"
"267805","2340762","1","","9999","1 cup","10205","244.0"
"267810","2340762","6","","9999","Quantity not specified","90000","244.0"
"267808","2340762","4","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267809","2340762","5","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267807","2340762","3","","9999","1 individual school container","64294","244.0"
"267806","2340762","2","","9999","1 fl oz","30000","30.5"
"267815","2340763","5","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267812","2340763","2","","9999","1 fl oz","30000","30.5"
"267814","2340763","4","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267813","2340763","3","","9999","1 individual school container","64294","244.0"
"267816","2340763","6","","9999","Quantity not specified","90000","244.0"
"267811","2340763","1","","9999","1 cup","10205","244.0"
"267817","2340764","1","","9999","1 cup","10205","244.0"
"267822","2340764","6","","9999","Quantity not specified","90000","244.0"
"267821","2340764","5","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267820","2340764","4","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267819","2340764","3","","9999","1 individual school container","64294","244.0"
"267818","2340764","2","","9999","1 fl oz","30000","30.5"
"267825","2340765","3","","9999","1 individual school container","64294","244.0"
"267824","2340765","2","","9999","1 fl oz","30000","30.5"
"267827","2340765","5","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267823","2340765","1","","9999","1 cup","10205","244.0"
"267826","2340765","4","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267828","2340765","6","","9999","Quantity not specified","90000","244.0"
"267830","2340766","2","","9999","1 fl oz","30000","30.5"
"267833","2340766","5","","9999","Quantity not specified","90000","244.0"
"267831","2340766","3","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267832","2340766","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267829","2340766","1","","9999","1 cup","10205","244.0"
"267834","2340767","1","","9999","1 cup","10205","244.0"
"267837","2340767","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267835","2340767","2","","9999","1 fl oz","30000","30.5"
"267836","2340767","3","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267838","2340767","5","","9999","Quantity not specified","90000","244.0"
"267839","2340768","1","","9999","1 cup","10205","244.0"
"267841","2340768","3","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267842","2340768","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267840","2340768","2","","9999","1 fl oz","30000","30.5"
"267843","2340768","5","","9999","Quantity not specified","90000","244.0"
"267847","2340769","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267848","2340769","5","","9999","Quantity not specified","90000","244.0"
"267844","2340769","1","","9999","1 cup","10205","244.0"
"267845","2340769","2","","9999","1 fl oz","30000","30.5"
"267846","2340769","3","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267850","2340770","2","","9999","1 fl oz","30000","30.5"
"267852","2340770","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267849","2340770","1","","9999","1 cup","10205","244.0"
"267851","2340770","3","","9999","Guideline amount per fl oz of beverage","63480","2.6"
"267853","2340770","5","","9999","Quantity not specified","90000","244.0"
"267855","2340771","2","","9999","1 fl oz","30000","30.5"
"267856","2340771","3","","9999","Guideline amount per fl oz of beverage","63480","2.6"
"267857","2340771","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267854","2340771","1","","9999","1 cup","10205","244.0"
"267858","2340771","5","","9999","Quantity not specified","90000","244.0"
"267861","2340772","3","","9999","Quantity not specified","90000","244.0"
"267860","2340772","2","","9999","1 fl oz","30000","30.5"
"267859","2340772","1","","9999","1 cup","10205","244.0"
"267866","2340773","5","","9999","Quantity not specified","90000","244.0"
"267862","2340773","1","","9999","1 cup","10205","244.0"
"267864","2340773","3","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267865","2340773","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267863","2340773","2","","9999","1 fl oz","30000","30.5"
"267871","2340774","5","","9999","Quantity not specified","90000","244.0"
"267867","2340774","1","","9999","1 cup","10205","244.0"
"267869","2340774","3","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267870","2340774","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267868","2340774","2","","9999","1 fl oz","30000","30.5"
"267874","2340775","3","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267875","2340775","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267873","2340775","2","","9999","1 fl oz","30000","30.5"
"267876","2340775","5","","9999","Quantity not specified","90000","244.0"
"267872","2340775","1","","9999","1 cup","10205","244.0"
"267877","2340776","1","","9999","1 cup","10205","244.0"
"267881","2340776","5","","9999","Quantity not specified","90000","244.0"
"267878","2340776","2","","9999","1 fl oz","30000","30.5"
"267879","2340776","3","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267880","2340776","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267885","2340777","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267882","2340777","1","","9999","1 cup","10205","244.0"
"267886","2340777","5","","9999","Quantity not specified","90000","244.0"
"267883","2340777","2","","9999","1 fl oz","30000","30.5"
"267884","2340777","3","","9999","Guideline amount per fl oz of beverage","63480","2.5"
"267889","2340778","3","","9999","Quantity not specified","90000","16.0"
"267890","2340778","4","","9999","Guideline amount per fl oz of beverage","63480","2.6"
"267892","2340778","6","","9999","Quantity not specified, if in beverage","90005","16.0"
"267888","2340778","2","","9999","1 fl oz","30000","31.5"
"267887","2340778","1","","9999","1 cup","10205","252.0"
"267891","2340778","5","","9999","Quantity not specified, as a drink or on cereal","90002","126.0"
"267894","2340779","2","","9999","1 fl oz","30000","31.5"
"267895","2340779","3","","9999","Quantity not specified","90000","16.0"
"267898","2340779","6","","9999","Quantity not specified, if in beverage","90005","16.0"
"267893","2340779","1","","9999","1 cup","10205","252.0"
"267896","2340779","4","","9999","Guideline amount per fl oz of beverage","63480","2.6"
"267897","2340779","5","","9999","Quantity not specified, as a drink or on cereal","90002","126.0"
"267899","2340780","1","","9999","1 cup","10205","252.0"
"267901","2340780","6","","9999","Quantity not specified, if in beverage","90005","16.0"
"267900","2340780","2","","9999","1 fl oz","30000","31.5"
"267903","2340780","8","","9999","Quantity not specified","90000","16.0"
"267902","2340780","7","","9999","Quantity not specified, as a drink or on cereal","90002","126.0"
"267906","2340781","3","","9999","Quantity not specified","90000","16.0"
"267904","2340781","1","","9999","1 cup","10205","252.0"
"267907","2340781","4","","9999","Guideline amount per fl oz of beverage","63480","2.6"
"267905","2340781","2","","9999","1 fl oz","30000","31.5"
"267908","2340781","5","","9999","Quantity not specified, as a drink or on cereal","90002","126.0"
"267909","2340781","6","","9999","Quantity not specified, if in beverage","90005","16.0"
"267910","2340782","1","","9999","1 cup","10205","304.0"
"267912","2340782","3","","9999","Quantity not specified","90000","19.0"
"267911","2340782","2","","9999","1 fl oz","30000","38.0"
"267916","2340783","4","","9999","Guideline amount per cup of hot cereal","63546","61.0"
"267917","2340783","5","","9999","Quantity not specified","90000","244.0"
"267914","2340783","2","","9999","1 fl oz","30000","30.5"
"267913","2340783","1","","9999","1 cup","10205","244.0"
